day,price,date,difficulty,num_tranc,activeAddresses
2009-10-18 00:00:00,0.0,2009-10-18,1.0,65.0,82.0
2009-10-20 00:00:00,0.0,2009-10-20,1.0,111.0,197.0
2009-10-22 00:00:00,0.0,2009-10-22,1.0,88.0,130.0
2009-10-24 00:00:00,0.0,2009-10-24,1.0,75.0,70.0
2009-10-26 00:00:00,0.0,2009-10-26,1.0,65.0,71.0
2009-10-28 00:00:00,0.0,2009-10-28,1.0,64.0,66.0
2009-10-30 00:00:00,0.0,2009-10-30,1.0,62.0,60.0
2009-11-01 00:00:00,0.0,2009-11-01,1.0,30.0,25.0
2009-11-03 00:00:00,0.0,2009-11-03,1.0,57.0,62.0
2009-11-05 00:00:00,0.0,2009-11-05,1.0,65.0,57.0
2009-11-07 00:00:00,0.0,2009-11-07,1.0,76.0,69.0
2009-11-09 00:00:00,0.0,2009-11-09,1.0,65.0,64.0
2009-11-11 00:00:00,0.0,2009-11-11,1.0,78.0,116.0
2009-11-13 00:00:00,0.0,2009-11-13,1.0,73.0,93.0
2009-11-15 00:00:00,0.0,2009-11-15,1.0,96.0,96.0
2009-11-17 00:00:00,0.0,2009-11-17,1.0,91.0,92.0
2009-11-19 00:00:00,0.0,2009-11-19,1.0,73.0,153.0
2009-11-21 00:00:00,0.0,2009-11-21,1.0,77.0,73.0
2009-11-23 00:00:00,0.0,2009-11-23,1.0,96.0,96.0
2009-11-25 00:00:00,0.0,2009-11-25,1.0,85.0,90.0
2009-11-27 00:00:00,0.0,2009-11-27,1.0,75.0,74.0
2009-11-29 00:00:00,0.0,2009-11-29,1.0,58.0,60.0
2009-12-01 00:00:00,0.0,2009-12-01,1.0,66.0,240.0
2009-12-03 00:00:00,0.0,2009-12-03,1.0,85.0,88.0
2009-12-05 00:00:00,0.0,2009-12-05,1.0,52.0,84.0
2009-12-07 00:00:00,0.0,2009-12-07,1.0,94.0,112.0
2009-12-09 00:00:00,0.0,2009-12-09,1.0,104.0,119.0
2009-12-11 00:00:00,0.0,2009-12-11,1.0,125.0,112.0
2009-12-13 00:00:00,0.0,2009-12-13,1.0,104.0,114.0
2009-12-15 00:00:00,0.0,2009-12-15,1.0,117.0,119.0
2009-12-17 00:00:00,0.0,2009-12-17,1.0,163.0,179.0
2009-12-19 00:00:00,0.0,2009-12-19,1.0,225.0,200.0
2009-12-21 00:00:00,0.0,2009-12-21,1.0,188.0,177.0
2009-12-23 00:00:00,0.0,2009-12-23,1.0,169.0,154.0
2009-12-25 00:00:00,0.0,2009-12-25,1.0,158.0,151.0
2009-12-27 00:00:00,0.0,2009-12-27,1.0,170.0,173.0
2009-12-29 00:00:00,0.0,2009-12-29,1.0,164.0,171.0
2009-12-31 00:00:00,0.0,2009-12-31,1.1828995343128408,150.0,138.0
2010-01-02 00:00:00,0.0,2010-01-02,1.1828995343128408,132.0,126.0
2010-01-04 00:00:00,0.0,2010-01-04,1.1828995343128408,192.0,266.0
2010-01-06 00:00:00,0.0,2010-01-06,1.1828995343128408,158.0,163.0
2010-01-08 00:00:00,0.0,2010-01-08,1.1828995343128408,150.0,153.0
2010-01-10 00:00:00,0.0,2010-01-10,1.1828995343128408,191.0,190.0
2010-01-12 00:00:00,0.0,2010-01-12,1.3050621315915245,168.0,375.0
2010-01-14 00:00:00,0.0,2010-01-14,1.3050621315915245,159.0,155.0
2010-01-16 00:00:00,0.0,2010-01-16,1.3050621315915245,135.0,132.0
2010-01-18 00:00:00,0.0,2010-01-18,1.3050621315915245,130.0,128.0
2010-01-20 00:00:00,0.0,2010-01-20,1.3050621315915245,140.0,158.0
2010-01-22 00:00:00,0.0,2010-01-22,1.3050621315915245,152.0,141.0
2010-01-24 00:00:00,0.0,2010-01-24,1.3050621315915245,148.0,156.0
2010-01-26 00:00:00,0.0,2010-01-26,1.3442249707710294,208.0,215.0
2010-01-28 00:00:00,0.0,2010-01-28,1.3442249707710294,176.0,199.0
2010-01-30 00:00:00,0.0,2010-01-30,1.3442249707710294,183.0,248.0
2010-02-01 00:00:00,0.0,2010-02-01,1.3442249707710294,189.0,203.0
2010-02-03 00:00:00,0.0,2010-02-03,1.3442249707710294,246.0,277.0
2010-02-05 00:00:00,0.0,2010-02-05,1.818648536145414,250.0,472.0
2010-02-07 00:00:00,0.0,2010-02-07,1.818648536145414,210.0,230.0
2010-02-09 00:00:00,0.0,2010-02-09,1.818648536145414,211.0,623.0
2010-02-11 00:00:00,0.0,2010-02-11,1.818648536145414,181.0,245.0
2010-02-13 00:00:00,0.0,2010-02-13,1.818648536145414,227.0,318.0
2010-02-15 00:00:00,0.0,2010-02-15,2.527738215072359,194.0,271.0
2010-02-17 00:00:00,0.0,2010-02-17,2.527738215072359,244.0,267.0
2010-02-19 00:00:00,0.0,2010-02-19,2.527738215072359,183.0,198.0
2010-02-21 00:00:00,0.0,2010-02-21,2.527738215072359,218.0,344.0
2010-02-23 00:00:00,0.0,2010-02-23,2.527738215072359,252.0,252.0
2010-02-25 00:00:00,0.0,2010-02-25,3.7811792520337657,150.0,300.0
2010-02-27 00:00:00,0.0,2010-02-27,3.7811792520337657,176.0,184.0
2010-03-01 00:00:00,0.0,2010-03-01,3.7811792520337657,187.0,227.0
2010-03-03 00:00:00,0.0,2010-03-03,3.7811792520337657,151.0,260.0
2010-03-05 00:00:00,0.0,2010-03-05,3.7811792520337657,178.0,175.0
2010-03-07 00:00:00,0.0,2010-03-07,3.7811792520337657,178.0,297.0
2010-03-09 00:00:00,0.0,2010-03-09,4.531081750070694,149.0,229.0
2010-03-11 00:00:00,0.0,2010-03-11,4.531081750070694,154.0,200.0
2010-03-13 00:00:00,0.0,2010-03-13,4.531081750070694,160.0,190.0
2010-03-15 00:00:00,0.0,2010-03-15,4.531081750070694,128.0,145.0
2010-03-17 00:00:00,0.0,2010-03-17,4.531081750070694,127.0,164.0
2010-03-19 00:00:00,0.0,2010-03-19,4.531081750070694,144.0,289.0
2010-03-21 00:00:00,0.0,2010-03-21,4.531081750070694,191.0,193.0
2010-03-23 00:00:00,0.0,2010-03-23,4.5651629103370714,215.0,289.0
2010-03-25 00:00:00,0.0,2010-03-25,4.5651629103370714,197.0,539.0
2010-03-27 00:00:00,0.0,2010-03-27,4.5651629103370714,182.0,206.0
2010-03-29 00:00:00,0.0,2010-03-29,4.5651629103370714,205.0,268.0
2010-03-31 00:00:00,0.0,2010-03-31,4.5651629103370714,213.0,238.0
2010-04-02 00:00:00,0.0,2010-04-02,6.085476906000794,155.0,179.0
2010-04-04 00:00:00,0.0,2010-04-04,6.085476906000794,175.0,241.0
2010-04-06 00:00:00,0.0,2010-04-06,6.085476906000794,175.0,267.0
2010-04-08 00:00:00,0.0,2010-04-08,6.085476906000794,208.0,217.0
2010-04-10 00:00:00,0.0,2010-04-10,6.085476906000794,294.0,556.0
2010-04-12 00:00:00,0.0,2010-04-12,7.8197969933538305,270.0,355.0
2010-04-14 00:00:00,0.0,2010-04-14,7.8197969933538305,230.0,312.0
2010-04-16 00:00:00,0.0,2010-04-16,7.8197969933538305,234.0,434.0
2010-04-18 00:00:00,0.0,2010-04-18,7.8197969933538305,1337.0,3468.0
2010-04-20 00:00:00,0.0,2010-04-20,7.8197969933538305,242.0,426.0
2010-04-22 00:00:00,0.0,2010-04-22,11.464315805514119,210.0,233.0
2010-04-24 00:00:00,0.0,2010-04-24,11.464315805514119,191.0,285.0
2010-04-26 00:00:00,0.0,2010-04-26,11.464315805514119,220.0,278.0
2010-04-28 00:00:00,0.0,2010-04-28,11.464315805514119,219.0,323.0
2010-04-30 00:00:00,0.0,2010-04-30,11.464315805514119,181.0,207.0
2010-05-02 00:00:00,0.0,2010-05-02,11.464315805514119,197.0,206.0
2010-05-04 00:00:00,0.0,2010-05-04,12.849183147823785,151.0,325.0
2010-05-06 00:00:00,0.0,2010-05-06,12.849183147823785,173.0,441.0
2010-05-08 00:00:00,0.0,2010-05-08,12.849183147823785,170.0,446.0
2010-05-10 00:00:00,0.0,2010-05-10,12.849183147823785,161.0,297.0
2010-05-12 00:00:00,0.0,2010-05-12,12.849183147823785,147.0,262.0
2010-05-14 00:00:00,0.0,2010-05-14,12.849183147823785,148.0,249.0
2010-05-16 00:00:00,0.0,2010-05-16,12.849183147823785,118.0,169.0
2010-05-18 00:00:00,0.0,2010-05-18,12.849183147823785,217.0,303.0
2010-05-20 00:00:00,0.0,2010-05-20,11.846228149704707,221.0,287.0
2010-05-22 00:00:00,0.0,2010-05-22,11.846228149704707,227.0,345.0
2010-05-24 00:00:00,0.0,2010-05-24,11.846228149704707,262.0,328.0
2010-05-26 00:00:00,0.0,2010-05-26,11.846228149704707,259.0,403.0
2010-05-28 00:00:00,0.0,2010-05-28,11.846228149704707,265.0,360.0
2010-05-30 00:00:00,0.0,2010-05-30,16.619078751857355,200.0,271.0
2010-06-01 00:00:00,0.0,2010-06-01,16.619078751857355,178.0,276.0
2010-06-03 00:00:00,0.0,2010-06-03,16.619078751857355,219.0,402.0
2010-06-05 00:00:00,0.0,2010-06-05,16.619078751857355,188.0,261.0
2010-06-07 00:00:00,0.0,2010-06-07,16.619078751857355,211.0,480.0
2010-06-09 00:00:00,0.0,2010-06-09,16.619078751857355,199.0,352.0
2010-06-11 00:00:00,0.0,2010-06-11,16.619078751857355,248.0,354.0
2010-06-13 00:00:00,0.0,2010-06-13,17.381488158140108,221.0,341.0
2010-06-15 00:00:00,0.0,2010-06-15,17.381488158140108,288.0,365.0
2010-06-17 00:00:00,0.0,2010-06-17,17.381488158140108,208.0,282.0
2010-06-19 00:00:00,0.0,2010-06-19,17.381488158140108,218.0,379.0
2010-06-21 00:00:00,0.0,2010-06-21,17.381488158140108,242.0,346.0
2010-06-23 00:00:00,0.0,2010-06-23,17.381488158140108,242.0,350.0
2010-06-25 00:00:00,0.0,2010-06-25,19.40479632838217,227.0,249.0
2010-06-27 00:00:00,0.0,2010-06-27,19.40479632838217,215.0,316.0
2010-06-29 00:00:00,0.0,2010-06-29,19.40479632838217,253.0,401.0
2010-07-01 00:00:00,0.0,2010-07-01,19.40479632838217,273.0,401.0
2010-07-03 00:00:00,0.0,2010-07-03,19.40479632838217,283.0,358.0
2010-07-05 00:00:00,0.0,2010-07-05,19.40479632838217,243.0,380.0
2010-07-07 00:00:00,0.0,2010-07-07,23.50125722290317,209.0,383.0
2010-07-09 00:00:00,0.0,2010-07-09,23.50125722290317,258.0,348.0
2010-07-11 00:00:00,0.0,2010-07-11,23.50125722290317,242.0,587.0
2010-07-13 00:00:00,0.0,2010-07-13,45.38582234101263,1739.0,1998.0
2010-07-15 00:00:00,0.0,2010-07-15,45.38582234101263,1793.0,2008.0
2010-07-17 00:00:00,0.0,2010-07-17,181.54328936405048,462.0,804.0
2010-07-19 00:00:00,0.0,2010-07-19,181.54328936405048,487.0,972.0
